2:44:08 91% (16m left); send: 14647368 1.49 Kp/s (1.49 Kp/s avg); recv: 10477 2 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:09 91% (15m left); send: 14648856 1.49 Kp/s (1.49 Kp/s avg); recv: 10479 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:10 91% (15m left); send: 14650344 1.49 Kp/s (1.49 Kp/s avg); recv: 10480 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:11 91% (15m left); send: 14651831 1.49 Kp/s (1.49 Kp/s avg); recv: 10482 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:12 91% (15m left); send: 14653320 1.49 Kp/s (1.49 Kp/s avg); recv: 10483 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:13 91% (15m left); send: 14654808 1.49 Kp/s (1.49 Kp/s avg); recv: 10484 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:14 91% (15m left); send: 14656296 1.49 Kp/s (1.49 Kp/s avg); recv: 10485 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:15 91% (15m left); send: 14657784 1.49 Kp/s (1.49 Kp/s avg); recv: 10487 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:16 91% (15m left); send: 14659268 1.48 Kp/s (1.49 Kp/s avg); recv: 10489 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:17 91% (15m left); send: 14660760 1.49 Kp/s (1.49 Kp/s avg); recv: 10492 2 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:18 91% (15m left); send: 14662248 1.49 Kp/s (1.49 Kp/s avg); recv: 10494 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:19 91% (15m left); send: 14663736 1.49 Kp/s (1.49 Kp/s avg); recv: 10495 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:20 91% (15m left); send: 14665225 1.49 Kp/s (1.49 Kp/s avg); recv: 10496 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:21 91% (15m left); send: 14666707 1.48 Kp/s (1.49 Kp/s avg); recv: 10497 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:22 91% (15m left); send: 14668197 1.49 Kp/s (1.49 Kp/s avg); recv: 10500 2 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:23 91% (15m left); send: 14669686 1.49 Kp/s (1.49 Kp/s avg); recv: 10500 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:24 91% (15m left); send: 14671167 1.48 Kp/s (1.49 Kp/s avg); recv: 10501 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:25 91% (15m left); send: 14672663 1.50 Kp/s (1.49 Kp/s avg); recv: 10505 3 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:26 91% (15m left); send: 14674150 1.49 Kp/s (1.49 Kp/s avg); recv: 10505 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:27 91% (15m left); send: 14675638 1.49 Kp/s (1.49 Kp/s avg); recv: 10506 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:28 91% (15m left); send: 14677127 1.49 Kp/s (1.49 Kp/s avg); recv: 10507 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:29 91% (15m left); send: 14678614 1.49 Kp/s (1.49 Kp/s avg); recv: 10507 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:30 91% (15m left); send: 14680103 1.49 Kp/s (1.49 Kp/s avg); recv: 10509 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:31 91% (15m left); send: 14681584 1.48 Kp/s (1.49 Kp/s avg); recv: 10509 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:32 91% (15m left); send: 14683079 1.49 Kp/s (1.49 Kp/s avg); recv: 10510 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:33 91% (15m left); send: 14684567 1.49 Kp/s (1.49 Kp/s avg); recv: 10510 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:34 91% (15m left); send: 14686055 1.49 Kp/s (1.49 Kp/s avg); recv: 10512 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:35 91% (15m left); send: 14687544 1.49 Kp/s (1.49 Kp/s avg); recv: 10513 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:36 91% (15m left); send: 14689029 1.48 Kp/s (1.49 Kp/s avg); recv: 10514 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:37 91% (15m left); send: 14690520 1.49 Kp/s (1.49 Kp/s avg); recv: 10514 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:38 91% (15m left); send: 14692008 1.49 Kp/s (1.49 Kp/s avg); recv: 10514 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:39 91% (15m left); send: 14693496 1.49 Kp/s (1.49 Kp/s avg); recv: 10514 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:40 91% (15m left); send: 14694984 1.49 Kp/s (1.49 Kp/s avg); recv: 10514 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:41 91% (15m left); send: 14696473 1.49 Kp/s (1.49 Kp/s avg); recv: 10514 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:42 91% (15m left); send: 14697960 1.49 Kp/s (1.49 Kp/s avg); recv: 10515 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:43 91% (15m left); send: 14699448 1.49 Kp/s (1.49 Kp/s avg); recv: 10515 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:44 91% (15m left); send: 14700937 1.49 Kp/s (1.49 Kp/s avg); recv: 10515 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:45 91% (15m left); send: 14702425 1.49 Kp/s (1.49 Kp/s avg); recv: 10515 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:46 91% (15m left); send: 14703912 1.49 Kp/s (1.49 Kp/s avg); recv: 10517 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:47 91% (15m left); send: 14705400 1.49 Kp/s (1.49 Kp/s avg); recv: 10517 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:48 91% (15m left); send: 14706888 1.49 Kp/s (1.49 Kp/s avg); recv: 10517 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:49 91% (15m left); send: 14708376 1.49 Kp/s (1.49 Kp/s avg); recv: 10517 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:50 92% (15m left); send: 14709863 1.49 Kp/s (1.49 Kp/s avg); recv: 10518 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
